0.1,9,13,60,30,139,42,158
2,0.1,15,68,26,128,40,150
54,62,0.1,2,162,46,147,51
15,17,9,0.1,167,47,137,53
118,106,40,42,0.1,26,14,103
35,32,183,189,6,0.1,14,119
169,158,37,34,57,58,0.3,18
39,38,203,210,26,30,73,0.1
